"id","tokenOrderLast","text","name"
"2B8CC893FEA6B",6,"my lifestyle","Àlice's lifestyle"
"CE08658F623F",2,"he","Tim"
"C2DB6F65E555",6,"that","that Tim's complaints are about Alice's lifestyle"
"2296B58F03C2F",2,"that","that Tim's complaints are about Alice's lifestyle"
"25BFEBFCB1B77",5,"I","Alice"
"FF918C60DCBE",10,"him","Tim"
"13246B9B64987",3,"you","Alice"
"120847C0604BF",10,"the only way it 's gon na work","the only way it's gonna work"
"24AF3536F90A3",11,"the only way it 's gon na work ,","having respect for one another"
"33742058F94CA",6,"it","two couples living together"
"1B482778AB561",8,"is if we have respect for one another","having respect for one another"
"17A30A971C842",8,"if we have respect for one another","mutual respect"
"36785C40E0600",3,"we","The two couples"
"16CD0137BC332",8,"respect for one another","mutual respect"
"B4D6DCA2C074",1,"That","having respect for one another"
"B7DD9C1C4648",2,"That","having respect for one another"
"2DD9099F40171",2,"it","having respect for one another"
"33520A5F1B256",8,"(H) <0> going to (...) our parents ,","Trail 81"
"76AD321AAA69",2,"<0>","The two couples"
"3477566465074",7,"our parents","our parents"
"36A2C171D5FFE",8,"and (...) <0> complaining about one another ,","Trail 81"
"2A2F47DEB3635",3,"<0>","The two couples"
"379BB180514F8",7,"one another","The two couples"
"34FA493381E0C",3,"I","Alice"
"17A0A3A1CB9A6",8,"him","Tim"
"57233824212D",2,"you","Tim"
"25578A670ED32",5,"any complaints","hypothetical Tim complaint"
"37AF8E62023E2",1,"you","Tim"
"2D7A2B041CC1E",12,"the person that you have the complaint about","the person Tim has the complaint about"
"36CEAC5AC3902",8,"you","Tim"
"11485055BCBC4",11,"the complaint","hypothetical Tim complaint"
"323D4F954DDE4",3,"I","Alice"
"10F2E4003E0C6",5,"weekly house meetings","weekly house meetings"
"316AD83E4EAE6",8,"<0>","The two couples"
"971EEA875933",11,"such things","hypothetical Tim complaint"
"28B77E39FE64E",1,"You","Alice"
"3076175574AE",6,"what it would be","weekly house meetings"
"E1DB7A4F61A4",4,"it","weekly house meetings"
"129168B539994",7,"a real good lesson for them ,","weekly house meetings"
"285DF16AE7BC1",6,"them","Tim and Mandy"
"144636EDDE11B",2,"too ,","weekly house meetings"
"231F6E448A5E7",5,"(...) in self assertiveness ,","weekly house meetings"
"2B11ECF377CD4",4,"self assertiveness","self assertiveness"
"32E190604015A",2,"you","Alice"
"F844BAB050A1",2,"I","Mary"
"1D9C9BFE1DDB7",4,"Tim","Tim"
"308466756BD7B",9,"himself","Tim"
"27D772B48F399",12,"a ,","Tim's uncomfortable situation or whatever"
"2B6BFAD147A96",4,"uncomfortable situation or whatever","Tim's uncomfortable situation or whatever"
"2BBD882BBEE9F",4,"his","Tim"
"7C8DE89DE2AC",6,"his first reaction","Tim's first reaction"
"2203812BF9512",9,"<0>","Tim"
"2E4338DF18BE",13,"it","Tim's uncomfortable situation or whatever"
"27E3DE6D7FF34",2,"You","Alice"
"15DB57B0C8FE3",2,"he","Tim"
"1FCB7A81566BA",1,"he","Tim"
"2A4C8335C4114",3,"it","Tim's uncomfortable situation or whatever"
"300790D404536",2,"He","Tim"
"109171C5E55B9",10,"nothing (...) positive about it","ànything positive about Tim's uncomfortable situation that he could do"
"1E635A0E9FC34",3,"he","Tim"
"16A8D59AB4EA6",4,"something","something (that bothers a hypothetical you)"
"23BE6107305C9",6,"you","impersonal you"
"532B73161F99",1,"you","impersonal you"
"2DF97C1DFCDAF",4,"you","impersonal you"
"3596F28F849F5",2,"I","Alice"
"B3D74A171CE7",3,"last year","last year"
"185AF206366B1",1,"I","Alice"
"35E2947BD2988",6,"myself","Alice"
"DA12A9490A3F",3,"I","Alice"
"194153464E54F",7,"<0>","Alice"
"11D4A9D159990",13,"intermediate (.) algebra","intermediate algebra"
"24B01F99AAAC9",3,"<0>","Alice"
"36E72AA02D5F4",5,"it","intermediate algebra"
"26DC63A417122",3,"I","Alice"
"22DA82EA486EF",3,"I","Alice"
"1B82163E272CF",3,"I","Alice"
"C72341DCD561",7,"a raise","a raise"
"26C0D7256E4C2",5,"<0>","Alice"
"2ACEB7160FA40",18,"<0> just <0> sitting in the class and <0> getting five dollars an hour","just sitting in the class and getting $5 and hour"
"156AF1551EF55",7,"<0>","Alice"
"BC3C9ADAB3D1",13,"<0>","Alice"
"5F43B7C065EC",18,"<0> getting five dollars an hour","getting $5 an hour"
"34B16006CAB16",1,"I","Alice"
"37E4B158CEF45",3,"now","last year"
"3252C6ACF61DC",8,"up there","up there"
"5107AD0950DF",9,"<0>","Alice"
"1BA2DA3C8C862",11,"it","intermediate algebra"
"104818262A56A",5,"<0>","Alice"
"91D8061AAFF6",11,"<0> getting the five dollars an hour","getting $5 an hour"
"2B1DEF33064D",1,"I","Alice"
"578296397860",6,"fifteen","fifteen dollars an hour"
"1CB8B1668ACBC",2,"I","Alice"
"2B7813657CA06",5,"I","Alice"
"25C25EEFF9870",4,"i","Alice"
"2FD204C87A3A1",1,"You","Mary"
"31B62F6CE82E2",4,"you","impersonal you 2"
"1C81544EA6885",10,"a situation like that","a situation like asking for a pay rise"
"36039238AE3D5",12,"Tim","Tim"
"EEB4411FD8D",14,"Mandy","Mandy"
"383C7834B74F8",5,"they","Tim and Mandy"
"9D5F47391845",8,"they","Tim and Mandy"
"3549A68821A5B",3,"they","Tim and Mandy"
"2801E281143D5",2,"They","Tim and Mandy"
"CC51A220DF94",4,"babies","Tim and Mandy"
"BFE9D9036438",2,"They","Tim and Mandy"
"32FB0820B10AB",6,"<0>","Tim and Mandy"
"DDE221650F7E",3,"somebody else","somebody else"
"1E403FBF343AE",9,"them","Tim and Mandy"
"27D22F07470D2",2,"You","Mary"
"310A187C465ED",2,"I","Mary"
"18041BD2EFFAC",4,"Right now","right now"
"2E074624889FE",2,"I","Mary"
"2154CAF67B0D9",7,"I","Mary"
"2894B16323963",8,"should","Mary's partner"
"1EAF025A492D7",12,"him","Mary's partner"
"2D20FE8EDF558",2,"I","Mary"
"1D9BAB6D41484",6,"he","Mary's partner"
"24199740B48EA",11,"taking me for granted","taking Mary for granted"
"6799D293C2C9",3,"he","Mary's partner"
"19D4D5D1BAF19",7,"it","taking Mary for granted"
"2CF2E68FFA98",3,"you","Mary"
"22CF5E613D5C7",5,"what","the thing that really scares Alice"
"24D2A23ADCB27",8,"the sad thing","the thing that really scares Alice"
"1D420E1E56CE5",7,"the thing that really scares me","the thing that really scares Alice"
"37BBE0A188405",4,"they","Tim and Mandy"
"3263170161525",9,"the rate they 're going","the rate Tim and Mandy are going"
"DD9265CB93FF",7,"they","Tim and Mandy"
"1214093C2AF90",11,"all the breaks that they 've (...) gotten","all the breaks that Tim and Mandy have got"
"3377A8BBFDB62",8,"they","Tim and Mandy"
"88705F60E1FB",3,"they","Tim and Mandy"
"5BBA1A23B8C1",10,"hard times","hard times"
"1CA1A9B471DDF",3,"Hard times","hard times"
"EFE33E1C521",6,"you","impersonal you 3 (trained by hard times)"
"2B6AF16C5C467",2,"They","hard times"
